0 1
0.01 0.990085
0.02 0.980365
0.03 0.970833
0.04 0.961484
0.05 0.952312
0.06 0.943314
0.07 0.934483
0.08 0.925816
0.09 0.917308
0.1 0.908953
0.11 0.90075
0.12 0.892692
0.13 0.884776
0.14 0.877
0.15 0.869358
0.16 0.861847
0.17 0.854465
0.18 0.847208
0.19 0.840072
0.2 0.833055
0.21 0.826153
0.22 0.819365
0.23 0.812686
0.24 0.806115
0.25 0.799649
0.26 0.793285
0.27 0.787021
0.28 0.780855
0.29 0.774784
0.3 0.768806
0.31 0.76292
0.32 0.757122
0.33 0.751412
0.34 0.745786
0.35 0.740244
0.36 0.734783
0.37 0.729401
0.38 0.724098
0.39 0.718871
0.4 0.713718
0.41 0.708638
0.42 0.70363
0.43 0.698692
0.44 0.693823
0.45 0.689021
0.46 0.684284
0.47 0.679613
0.48 0.675004
0.49 0.670458
0.5 0.665972
0.51 0.661546
0.52 0.657179
0.53 0.652869
0.54 0.648615
0.55 0.644417
0.56 0.640273
0.57 0.636182
0.58 0.632143
0.59 0.628156
0.6 0.624219
0.61 0.620332
0.62 0.616493
0.63 0.612702
0.64 0.608958
0.65 0.60526
0.66 0.601608
0.67 0.598
0.68 0.594437
0.69 0.590916
0.7 0.587438
0.71 0.584001
0.72 0.580606
0.73 0.577251
0.74 0.573937
0.75 0.570661
0.76 0.567424
0.77 0.564225
0.78 0.561063
0.79 0.557938
0.8 0.55485
0.81 0.551798
0.82 0.54878
0.83 0.545798
0.84 0.54285
0.85 0.539936
0.86 0.537055
0.87 0.534207
0.88 0.531392
0.89 0.528609
0.9 0.525857
0.91 0.523137
0.92 0.520448
0.93 0.517789
0.94 0.51516
0.95 0.512561
0.96 0.509991
0.97 0.507451
0.98 0.504939
0.99 0.502455
1 0.5
