node number	position
0 -1
1 -0.979957
2 -0.959917
3 -0.93988
4 -0.919845
5 -0.899812
6 -0.879782
7 -0.859754
8 -0.839728
9 -0.819705
10 -0.799684
11 -0.779665
12 -0.759648
13 -0.739633
14 -0.719619
15 -0.699608
16 -0.679599
17 -0.659591
18 -0.639585
19 -0.619581
20 -0.599579
21 -0.579578
22 -0.559578
23 -0.53958
24 -0.519584
25 -0.499589
26 -0.479595
27 -0.459602
28 -0.439611
29 -0.419621
30 -0.399631
31 -0.379643
32 -0.359656
33 -0.33967
34 -0.319685
35 -0.299701
36 -0.279717
37 -0.259734
38 -0.239752
39 -0.21977
40 -0.199789
41 -0.179809
42 -0.159829
43 -0.139849
44 -0.11987
45 -0.0998914
46 -0.0799128
47 -0.0599344
48 -0.0399562
49 -0.0199781
50 -2.98372e-16
51 0.0199781
52 0.0399562
53 0.0599344
54 0.0799128
55 0.0998914
56 0.11987
57 0.139849
58 0.159829
59 0.179809
60 0.199789
61 0.21977
62 0.239752
63 0.259734
64 0.279717
65 0.299701
66 0.319685
67 0.33967
68 0.359656
69 0.379643
70 0.399631
71 0.419621
72 0.439611
73 0.459602
74 0.479595
75 0.499589
76 0.519584
77 0.53958
78 0.559578
79 0.579578
80 0.599579
81 0.619581
82 0.639585
83 0.659591
84 0.679599
85 0.699608
86 0.719619
87 0.739633
88 0.759648
89 0.779665
90 0.799684
91 0.819705
92 0.839728
93 0.859754
94 0.879782
95 0.899812
96 0.919845
97 0.93988
98 0.959917
99 0.979957
100 1
